                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.96946,                0.47204,                0.88273,                0.95507,                0.95133,                0.96683,                   0.61,                 1.3713,                0.52736,                 1.0417,               0.007789,               0.007789,               0.007789
                     69,                0.95159,                0.46724,                0.88328,                0.95938,                0.95793,                0.97098,                0.61131,                 1.3721,                0.52482,                 1.0429,               0.007756,               0.007756,               0.007756
                     70,                0.95885,                0.46725,                0.88329,                0.95947,                0.96013,                0.97235,                0.61229,                  1.371,                0.52469,                  1.042,               0.007723,               0.007723,               0.007723
                     71,                0.95184,                0.47148,                 0.8802,                0.95764,                0.95944,                0.97114,                0.61246,                 1.3673,                0.52146,                 1.0401,                0.00769,                0.00769,                0.00769
                     72,                0.94242,                0.46284,                0.88084,                0.95936,                0.95751,                0.97088,                0.61259,                 1.3643,                0.51937,                 1.0402,               0.007657,               0.007657,               0.007657
                     73,                0.93871,                0.45859,                0.88119,                0.96192,                0.95664,                0.97138,                0.61521,                 1.3645,                0.51917,                 1.0397,               0.007624,               0.007624,               0.007624
                     74,                0.94438,                0.46411,                0.87743,                0.96065,                0.95611,                0.96897,                0.61538,                 1.3628,                0.52069,                 1.0402,               0.007591,               0.007591,               0.007591
                     75,                0.93085,                0.45417,                0.87674,                0.96045,                0.95664,                0.96872,                0.61236,                 1.3634,                 0.5227,                 1.0402,               0.007558,               0.007558,               0.007558
                     76,                0.92771,                0.45768,                0.87757,                0.96256,                0.95664,                0.96872,                0.61347,                 1.3626,                0.52303,                  1.041,               0.007525,               0.007525,               0.007525
                     77,                0.92791,                0.45299,                0.87666,                0.96327,                0.95373,                 0.9691,                 0.6139,                 1.3641,                0.52328,                 1.0417,               0.007492,               0.007492,               0.007492
                     78,                0.92797,                0.45931,                0.87622,                0.96171,                0.95385,                0.96918,                0.61301,                 1.3624,                0.52349,                 1.0421,               0.007459,               0.007459,               0.007459
                     79,                0.91735,                0.45274,                0.87282,                0.96169,                0.95385,                0.96866,                0.61301,                 1.3609,                0.52244,                 1.0426,               0.007426,               0.007426,               0.007426
