                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.1333,                0.55558,                0.90771,                0.97471,                0.93981,                0.97543,                0.47844,                 1.8106,                0.70639,                 1.2029,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.1515,                0.55083,                0.91008,                0.98212,                0.94444,                0.98135,                0.46558,                  1.847,                0.70092,                 1.2154,               0.000812,               0.000812,               0.000812
                     62,                 1.1432,                0.55197,                0.90632,                0.93612,                0.94989,                0.97711,                0.46717,                 1.7912,                0.71288,                  1.179,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1099,                0.54084,                0.89989,                0.97687,                0.93056,                0.97479,                0.46753,                 1.8477,                0.70741,                 1.2027,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1009,                0.53217,                0.89182,                0.93377,                0.93519,                 0.9561,                0.47126,                 1.8323,                0.71037,                 1.1979,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1078,                0.54157,                0.89574,                0.95819,                  0.955,                0.97819,                0.47446,                 1.8678,                0.70903,                 1.2139,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0583,                0.51642,                0.88673,                0.97548,                 0.9213,                0.96221,                0.48306,                 1.8447,                  0.706,                 1.2137,               0.000713,               0.000713,               0.000713
                     67,                 1.0685,                0.52014,                0.89273,                0.96205,                0.93056,                0.97115,                0.46365,                 1.8992,                0.71831,                 1.2317,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.0537,                0.51386,                0.88762,                0.96223,                 0.9537,                0.98158,                0.48486,                 1.8494,                 0.6999,                 1.2043,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0684,                0.52778,                0.89264,                0.96266,                0.95495,                0.97833,                0.47516,                 1.8718,                0.69642,                 1.2213,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0442,                0.50499,                0.88475,                0.97913,                 0.9213,                0.97095,                0.48749,                 1.8474,                0.67776,                 1.2106,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0218,                0.49274,                0.88375,                0.95444,                 0.9537,                0.97352,                0.48005,                 1.8639,                0.71283,                 1.2198,               0.000614,               0.000614,               0.000614
                     72,                 1.0293,                0.49738,                0.88144,                0.97048,                0.91318,                0.96731,                0.47701,                 1.8878,                 0.7055,                   1.23,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0175,                 0.4929,                0.88075,                0.92386,                0.95496,                0.96198,                0.47086,                 1.8421,                0.71526,                 1.2141,              0.0005744,              0.0005744,              0.0005744
                     74,                0.98203,                0.47836,                 0.8703,                0.96367,                0.93519,                0.96699,                 0.4923,                 1.8213,                0.69941,                 1.2064,              0.0005546,              0.0005546,              0.0005546
                     75,                0.98564,                0.48496,                0.87372,                0.97098,                0.92945,                0.96435,                0.48623,                  1.859,                0.69498,                 1.2139,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0008,                0.49605,                0.87782,                0.95637,                 0.9537,                0.97533,                0.47802,                 1.8678,                 0.6766,                 1.2433,               0.000515,               0.000515,               0.000515
                     77,                0.98503,                0.48079,                0.87297,                0.95592,                0.93981,                0.96779,                0.47894,                 1.8861,                0.68576,                  1.232,              0.0004952,              0.0004952,              0.0004952
